date,ad_male,yearling_male,ad_female,yearling_female,yearling,calf,unknown,ids,collars,total
6/3/2017,2,0,1,0,2,0,0,NA,0,5
6/3/2017,0,0,1,0,0,0,0,FO2016003,1,1
6/3/2017,0,0,1,0,0,1,0,,0,2
6/3/2017,0,0,1,0,0,0,0,NA,0,1
6/3/2017,0,0,1,0,0,0,0,FO2016005,1,1
6/3/2017,0,0,1,0,0,1,0,FO2016009 & ,1,2
7/3/2017,0,0,1,0,0,0,0,NA,0,1
9/3/2017,1,0,0,0,0,0,0,NA,0,1
9/3/2017,1,0,0,0,0,0,0,NA,0,1
6/4/2017,0,0,1,0,0,1,0,NA,0,2
6/4/2017,0,0,1,0,0,0,0,NA,0,1
6/4/2017,1,0,1,0,5,0,0,NA,0,7
6/4/2017,0,0,2,0,2,0,0,FO2017011 & ,1,4
6/4/2017,0,0,1,0,0,0,0,FO2016002,1,1
6/4/2017,0,0,9,0,0,5,0,FO2016014 & FO2017010 & ,2,14
6/4/2017,0,0,1,0,0,1,0,FO2017011 & ,1,2
6/4/2017,0,0,2,0,2,0,0,NA,0,4
7/4/2017,0,0,1,0,0,0,0,NA,0,1
7/4/2017,0,0,1,0,0,1,0,FO2016015 & ,1,2
7/4/2017,0,0,1,0,0,0,0,FO2017009,1,1
7/4/2017,0,0,1,0,0,1,0,,0,2
6/5/2017,0,0,1,0,0,0,0,NA,0,1
6/5/2017,0,0,3,0,4,3,0,FO2017002,1,10
6/5/2017,0,0,2,0,0,1,0,FO2017013,1,3
7/5/2017,0,0,1,0,0,0,0,NA,0,1
7/5/2017,0,0,1,0,0,1,0,NA,0,2
6/6/2017,0,0,1,0,0,0,0,NA,0,1
6/6/2017,1,0,0,0,0,0,0,NA,0,1
6/6/2017,0,0,1,0,0,0,0,NA,0,1
6/6/2017,0,0,1,0,0,0,0,FO2017006,1,1
6/6/2017,0,0,2,0,1,1,0,FO2017010,1,4
6/7/2017,0,0,1,0,0,0,0,NA,0,1
7/7/2017,0,0,2,0,0,0,0,NA,0,2
7/7/2017,0,0,1,0,1,0,0,NA,0,2
7/7/2017,0,0,1,0,0,0,0,NA,0,1
6/8/2017,0,0,1,0,0,0,0,NA,0,1
7/8/2017,0,0,0,0,0,0,1,NA,0,1
7/8/2017,0,0,2,0,1,0,0,NA,0,3
6/9/2017,0,0,1,0,0,1,0,FO2016003,1,2
7/9/2017,0,0,1,0,0,0,0,NA,0,1
10/3/2017,0,0,5,0,0,0,0,FO2016010 & FO2017011,2,5
10/4/2017,0,0,3,0,1,0,0,FO2017002,1,4
10/4/2017,0,0,1,0,0,0,0,NA,0,1
10/4/2017,0,0,1,0,0,0,0,NA,0,1
10/4/2017,0,0,0,0,1,0,0,NA,0,1
6/10/2017,0,0,1,0,0,1,0,NA,0,2
6/10/2017,0,0,1,0,0,1,0,NA,0,2
7/10/2017,0,0,1,0,1,1,0,NA,0,3
10/31/2017,0,0,1,0,0,0,0,NA,0,1
10/31/2017,0,0,1,0,0,0,0,NA,0,1
11/2/2017,1,0,5,0,0,0,0,NA,0,6
11/2/2017,0,0,0,0,0,0,9,FO2016010,1,9
11/2/2017,0,0,0,0,0,0,12,FO2017011,1,12
11/2/2017,4,0,0,0,0,0,0,NA,0,4
11/3/2017,0,0,1,0,0,0,9,FO2016004,1,10
11/4/2017,0,0,2,0,0,0,8,FO2017014 & FO2017004,2,10
11/4/2017,0,0,1,0,3,0,0,FO2016012,1,4
11/4/2017,0,0,3,0,0,0,0,FO2016014,1,3
11/5/2017,1,0,3,0,0,0,4,FO2017010,1,8
